presentation_table,cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
Scripted_rule_evaluation_depstatic_n7_r1,framer|sharp_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.38260000000000005,false_ejection_rate,false_ejection_rate,5,0.015836666315863338,rules
Scripted_rule_evaluation_depstatic_n7_r1,framer|soft_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.39940000000000003,false_ejection_rate,false_ejection_rate,5,0.013501851724856097,rules
Scripted_rule_evaluation_depstatic_n7_r1,framer|trimmed,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.5686,false_ejection_rate,false_ejection_rate,5,0.011802542099056425,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|dependence_aware,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.20400000000000001,false_ejection_rate,false_ejection_rate,5,0.011467344941179713,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|hypothesis,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2238,false_ejection_rate,false_ejection_rate,5,0.013754999091239522,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|mean,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.132,false_ejection_rate,false_ejection_rate,5,0.007648529270389173,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|median,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.4394,false_ejection_rate,false_ejection_rate,5,0.014380542409798053,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|sharp_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2104,false_ejection_rate,false_ejection_rate,5,0.006877499545619757,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|soft_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.15120000000000003,false_ejection_rate,false_ejection_rate,5,0.011009087155618309,rules
Scripted_rule_evaluation_depstatic_n7_r1,lone_liar|trimmed,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.35079999999999995,false_ejection_rate,false_ejection_rate,5,0.010158740079360231,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|dependence_aware,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0066,false_ejection_rate,false_ejection_rate,5,0.003049590136395381,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|hypothesis,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2702,false_ejection_rate,false_ejection_rate,5,0.010329569206893376,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|mean,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0066,false_ejection_rate,false_ejection_rate,5,0.003049590136395381,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|median,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.39780000000000004,false_ejection_rate,false_ejection_rate,5,0.016392071254115497,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|sharp_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0066,false_ejection_rate,false_ejection_rate,5,0.003049590136395381,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|soft_credibility,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0066,false_ejection_rate,false_ejection_rate,5,0.003049590136395381,rules
Scripted_rule_evaluation_depstatic_n7_r1,truthful|trimmed,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2726,false_ejection_rate,false_ejection_rate,5,0.011260550608207388,rules
Static_learned-policy_evaluation_depstatic_n7_r1,C0|dependence_aware|both,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1968,false_ejection_rate,false_ejection_rate,5,0.07334643822299758,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|dependence_aware|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.18480000000000002,false_ejection_rate,false_ejection_rate,5,0.07244791232326851,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|hypothesis|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.11120000000000001,false_ejection_rate,false_ejection_rate,5,0.06130823761942599,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|mean|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1452,false_ejection_rate,false_ejection_rate,5,0.06807863100856244,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|median|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.36060000000000003,false_ejection_rate,false_ejection_rate,5,0.03145313974788527,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|sharp_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.25020000000000003,false_ejection_rate,false_ejection_rate,5,0.05667186250689138,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|soft_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.19319999999999998,false_ejection_rate,false_ejection_rate,5,0.06739213603974874,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C0|trimmed|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.325,false_ejection_rate,false_ejection_rate,5,0.04096339829652809,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|dependence_aware|both,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1002,false_ejection_rate,false_ejection_rate,5,0.019279522815671555,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|dependence_aware|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0622,false_ejection_rate,false_ejection_rate,5,0.020315019074566478,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|hypothesis|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.05700000000000001,false_ejection_rate,false_ejection_rate,5,0.028222331583340168,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|mean|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.038400000000000004,false_ejection_rate,false_ejection_rate,5,0.014380542409798039,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|median|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.24559999999999998,false_ejection_rate,false_ejection_rate,5,0.08801306721163626,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|sharp_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.126,false_ejection_rate,false_ejection_rate,5,0.043914690025092976,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|soft_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0742,false_ejection_rate,false_ejection_rate,5,0.021253235047869773,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C1|trimmed|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2052,false_ejection_rate,false_ejection_rate,5,0.06623971618296685,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|dependence_aware|both,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.11239999999999999,false_ejection_rate,false_ejection_rate,5,0.029339393313427598,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|dependence_aware|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.086,false_ejection_rate,false_ejection_rate,5,0.02232711356176611,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|hypothesis|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.061,false_ejection_rate,false_ejection_rate,5,0.02053046516764781,learned
