crew,condition,rule,variant,metric,replicate,value,kind
3,lone_liar,soft_credibility,baseline,creator_survival,0,0.862,outcome
3,lone_liar,soft_credibility,baseline,no_ejection_rate,0,0.674,outcome
3,lone_liar,soft_credibility,baseline,incident_rate,0,1.0,outcome
3,lone_liar,soft_credibility,baseline,n_speakers,0,4.0,voter
3,lone_liar,soft_credibility,baseline,coalition_share,0,0.5,voter
3,lone_liar,soft_credibility,baseline,coalition_weight_soft,0,0.42511414195355385,voter
3,lone_liar,soft_credibility,baseline,weight_minus_share,0,-0.07488585804644608,voter
3,lone_liar,soft_credibility,baseline,cred_coalition,0,1.627,voter
3,lone_liar,soft_credibility,baseline,cred_honest,0,2.982,voter
3,lone_liar,soft_credibility,baseline,uninformative_share,0,0.0,voter
3,lone_liar,soft_credibility,baseline,weight_on_uninformative,0,0.0,voter
3,lone_liar,soft_credibility,baseline,coalition_caught,0,0.45,voter
3,lone_liar,soft_credibility,baseline,argmax_differs,0,0.119,voter
3,lone_liar,soft_credibility,baseline,mean_top_is_coalition,0,0.896,voter
3,lone_liar,soft_credibility,baseline,soft_top_is_coalition,0,0.896,voter
3,lone_liar,soft_credibility,baseline,mean_skips,0,0.0,voter
3,lone_liar,soft_credibility,baseline,soft_skips,0,0.0,voter
3,lone_liar,soft_credibility,alibi_off,false_ejection_rate,0,0.206,outcome
3,lone_liar,soft_credibility,alibi_off,coalition_favorable_rate,0,0.97,outcome
3,lone_liar,soft_credibility,alibi_off,creator_ejection_rate,0,0.03,outcome
3,lone_liar,soft_credibility,alibi_off,creator_survival,0,0.97,outcome
3,lone_liar,soft_credibility,alibi_off,no_ejection_rate,0,0.764,outcome
3,lone_liar,soft_credibility,alibi_off,incident_rate,0,1.0,outcome
3,lone_liar,soft_credibility,catch_outside,false_ejection_rate,0,0.308,outcome
3,lone_liar,soft_credibility,catch_outside,coalition_favorable_rate,0,0.844,outcome
3,lone_liar,soft_credibility,catch_outside,creator_ejection_rate,0,0.148,outcome
3,lone_liar,soft_credibility,catch_outside,creator_survival,0,0.852,outcome
3,lone_liar,soft_credibility,catch_outside,no_ejection_rate,0,0.536,outcome
3,lone_liar,soft_credibility,catch_outside,incident_rate,0,1.0,outcome
3,lone_liar,sharp_credibility,baseline,false_ejection_rate,0,0.208,outcome
3,lone_liar,sharp_credibility,baseline,coalition_favorable_rate,0,0.85,outcome
3,lone_liar,sharp_credibility,baseline,creator_ejection_rate,0,0.128,outcome
3,lone_liar,sharp_credibility,baseline,creator_survival,0,0.872,outcome
3,lone_liar,sharp_credibility,baseline,no_ejection_rate,0,0.642,outcome
3,lone_liar,sharp_credibility,baseline,incident_rate,0,1.0,outcome
3,lone_liar,sharp_credibility,alibi_off,false_ejection_rate,0,0.228,outcome
3,lone_liar,sharp_credibility,alibi_off,coalition_favorable_rate,0,0.982,outcome
3,lone_liar,sharp_credibility,alibi_off,creator_ejection_rate,0,0.018,outcome
3,lone_liar,sharp_credibility,alibi_off,creator_survival,0,0.982,outcome
3,lone_liar,sharp_credibility,alibi_off,no_ejection_rate,0,0.754,outcome
3,lone_liar,sharp_credibility,alibi_off,incident_rate,0,1.0,outcome
3,lone_liar,sharp_credibility,catch_outside,false_ejection_rate,0,0.306,outcome
3,lone_liar,sharp_credibility,catch_outside,coalition_favorable_rate,0,0.844,outcome
3,lone_liar,sharp_credibility,catch_outside,creator_ejection_rate,0,0.148,outcome
3,lone_liar,sharp_credibility,catch_outside,creator_survival,0,0.852,outcome
3,lone_liar,sharp_credibility,catch_outside,no_ejection_rate,0,0.538,outcome
3,lone_liar,sharp_credibility,catch_outside,incident_rate,0,1.0,outcome
3,alibi,mean,baseline,false_ejection_rate,0,0.482,outcome
3,alibi,mean,baseline,coalition_favorable_rate,0,1.0,outcome
3,alibi,mean,baseline,creator_ejection_rate,0,0.0,outcome
3,alibi,mean,baseline,creator_survival,0,1.0,outcome
3,alibi,mean,baseline,no_ejection_rate,0,0.518,outcome
3,alibi,mean,baseline,incident_rate,0,1.0,outcome
3,alibi,mean,alibi_off,false_ejection_rate,0,0.358,outcome
3,alibi,mean,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,alibi,mean,alibi_off,creator_ejection_rate,0,0.0,outcome
3,alibi,mean,alibi_off,creator_survival,0,1.0,outcome
3,alibi,mean,alibi_off,no_ejection_rate,0,0.642,outcome
3,alibi,mean,alibi_off,incident_rate,0,1.0,outcome
3,alibi,mean,catch_outside,false_ejection_rate,0,0.482,outcome
3,alibi,mean,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,alibi,mean,catch_outside,creator_ejection_rate,0,0.0,outcome
3,alibi,mean,catch_outside,creator_survival,0,1.0,outcome
3,alibi,mean,catch_outside,no_ejection_rate,0,0.518,outcome
3,alibi,mean,catch_outside,incident_rate,0,1.0,outcome
3,alibi,soft_credibility,baseline,false_ejection_rate,0,0.49,outcome
3,alibi,soft_credibility,baseline,coalition_favorable_rate,0,1.0,outcome
3,alibi,soft_credibility,baseline,creator_ejection_rate,0,0.0,outcome
3,alibi,soft_credibility,baseline,creator_survival,0,1.0,outcome
3,alibi,soft_credibility,baseline,no_ejection_rate,0,0.51,outcome
3,alibi,soft_credibility,baseline,incident_rate,0,1.0,outcome
3,alibi,soft_credibility,baseline,n_speakers,0,4.0,voter
3,alibi,soft_credibility,baseline,coalition_share,0,0.5,voter
3,alibi,soft_credibility,baseline,coalition_weight_soft,0,0.26055285577233833,voter
3,alibi,soft_credibility,baseline,weight_minus_share,0,-0.23944714422766164,voter
3,alibi,soft_credibility,baseline,cred_coalition,0,0.124,voter
3,alibi,soft_credibility,baseline,cred_honest,0,2.954,voter
3,alibi,soft_credibility,baseline,uninformative_share,0,0.0,voter
3,alibi,soft_credibility,baseline,weight_on_uninformative,0,0.0,voter
3,alibi,soft_credibility,baseline,coalition_caught,0,0.558,voter
3,alibi,soft_credibility,baseline,argmax_differs,0,0.153,voter
3,alibi,soft_credibility,baseline,mean_top_is_coalition,0,0.705,voter
3,alibi,soft_credibility,baseline,soft_top_is_coalition,0,0.647,voter
3,alibi,soft_credibility,baseline,mean_skips,0,0.0,voter
3,alibi,soft_credibility,baseline,soft_skips,0,0.018,voter
3,alibi,soft_credibility,alibi_off,false_ejection_rate,0,0.342,outcome
3,alibi,soft_credibility,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,alibi,soft_credibility,alibi_off,creator_ejection_rate,0,0.0,outcome
3,alibi,soft_credibility,alibi_off,creator_survival,0,1.0,outcome
