crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,alibi,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,creator_ejection_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,creator_survival,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,false_ejection_rate,sharp_credibility minus mean,10,-0.0032000000000000028,0.008230026326405855,-0.018000000000000016,0.008000000000000007,"[0.0040000000000000036,-0.018000000000000016,0.0,-0.006000000000000005,0.0,-0.0040000000000000036,0.0,0.0,-0.016000000000000014,0.008000000000000007]",baseline
3,alibi,,incident_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,alibi,,no_ejection_rate,sharp_credibility minus mean,10,0.003199999999999997,0.008230026326405843,-0.008000000000000007,0.01799999999999996,"[-0.0040000000000000036,0.01799999999999996,0.0,0.006000000000000005,0.0,0.0040000000000000036,0.0,0.0,0.016000000000000014,-0.008000000000000007]",baseline
3,alibi,sharp_credibility,coalition_favorable_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,sharp_credibility,creator_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_ejection_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
