figure,group,table,cell,metric,row,column,n_seeds,mean,sd
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C2|D6,coalition_game_win_rate,C2,D6,10,0.5616000000000001,0.2043500265068085
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C2|D7,coalition_game_win_rate,C2,D7,10,0.5422,0.21026639188314322
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C2|D8,coalition_game_win_rate,C2,D8,10,0.5466,0.14156600345186457
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C2|D9,coalition_game_win_rate,C2,D9,10,0.504,0.16919154168509068
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C2|D10,coalition_game_win_rate,C2,D10,10,0.5666,0.17709018418120565
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D0,coalition_game_win_rate,C3,D0,10,0.2032,0.03360158726409612
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D1,coalition_game_win_rate,C3,D1,10,0.8116,0.024272526764957
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D2,coalition_game_win_rate,C3,D2,10,0.3454,0.15581769975055965
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D3,coalition_game_win_rate,C3,D3,10,0.8131999999999999,0.03101540835706591
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D4,coalition_game_win_rate,C3,D4,10,0.2502,0.07397567167657217
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D5,coalition_game_win_rate,C3,D5,10,0.667,0.1472873231325614
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D6,coalition_game_win_rate,C3,D6,10,0.382,0.15343185240794474
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D7,coalition_game_win_rate,C3,D7,10,0.6493999999999999,0.12046594724005803
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D8,coalition_game_win_rate,C3,D8,10,0.4673999999999999,0.1617049439222218
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D9,coalition_game_win_rate,C3,D9,10,0.507,0.1987186732823846
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C3|D10,coalition_game_win_rate,C3,D10,10,0.5306,0.12764899790702106
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D0,coalition_game_win_rate,C4,D0,10,0.18139999999999998,0.03820471175130104
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D1,coalition_game_win_rate,C4,D1,10,0.7424,0.1238199409537001
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D2,coalition_game_win_rate,C4,D2,10,0.6198,0.11801111058803836
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D3,coalition_game_win_rate,C4,D3,10,0.35819999999999996,0.13853663775333946
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D4,coalition_game_win_rate,C4,D4,10,0.8215999999999999,0.030707219563700847
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D5,coalition_game_win_rate,C4,D5,10,0.3132,0.08575002429542902
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D6,coalition_game_win_rate,C4,D6,10,0.5900000000000001,0.17177763403759977
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D7,coalition_game_win_rate,C4,D7,10,0.47359999999999997,0.2374696237884379
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D8,coalition_game_win_rate,C4,D8,10,0.6063999999999999,0.16874912345451357
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D9,coalition_game_win_rate,C4,D9,10,0.4178,0.14252781404967166
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C4|D10,coalition_game_win_rate,C4,D10,10,0.6043999999999999,0.16057341692267194
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D0,coalition_game_win_rate,C5,D0,10,0.1966,0.04411147494952105
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D1,coalition_game_win_rate,C5,D1,10,0.7958000000000001,0.06526833501442761
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D2,coalition_game_win_rate,C5,D2,10,0.39519999999999994,0.16740423464708942
