analysis_status,group,table,cell,metric,expected_seeds,included_seeds,complete,n_seeds,mean,sd
complete,multigen_none_n7_r8_k10,loop_h2,c_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8537000000000001,0.019591452217740255
complete,multigen_rwfe_n7_r8_k2,loop_h2,d_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8004,0.028710625210886624
complete,multigen_none_n7_r8_k10,loop_h2,d_stage_mean,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.7567999999999999,0.0603112758943135
complete,multigen_rwfe_n7_r8_k2,loop_h2,matrix_adaptation_gain,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.09000000000000001,0.03249615361854386
complete,multigen_none_n7_r8_k10,loop_h2,matrix_adaptation_gain,any_false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.10059999999999998,0.05522952109153221
complete,multigen_rwfe_n7_r8_k2,loop_h2,c_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8831999999999999,0.013917614738165458
complete,multigen_none_n7_r8_k10,loop_h2,c_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.8099999999999999,0.042973829245251144
complete,multigen_rwfe_n7_r8_k2,loop_h2,d_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5539,0.050773270526921946
complete,multigen_none_n7_r8_k10,loop_h2,d_stage_mean,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.3736,0.07577631556099836
complete,multigen_rwfe_n7_r8_k2,loop_h2,matrix_adaptation_gain,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.3326,0.05955081863417161
complete,multigen_none_n7_r8_k10,loop_h2,matrix_adaptation_gain,coalition_game_win_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.4404,0.09490943051140913
complete,multigen_rwmeet_n7_r1_k4,loop_h4,c_stage_mean,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.5702999999999999,0.051053403412505215
complete,multigen_rwmeet_n7_r1_k4,loop_h4,d_stage_mean,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.34735,0.006236485388421922
complete,multigen_rwmeet_n7_r1_k4,loop_h4,matrix_adaptation_gain,false_ejection_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.21989999999999998,0.04920543669148764
complete,multigen_rwmeet_n7_r1_k4,loop_h4,c_stage_mean,coalition_favorable_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.7722,0.03811266193799643
complete,multigen_rwmeet_n7_r1_k4,loop_h4,d_stage_mean,coalition_favorable_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.62155,0.02855116022160918
complete,multigen_rwmeet_n7_r1_k4,loop_h4,matrix_adaptation_gain,coalition_favorable_rate,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",True,5,0.14309999999999998,0.03847141796191038
