analysis_status,job,group,seed,metric,generation,gap,best_observed_coalition,best_observed_defender,mc_low,mc_high,simultaneous_cell_epsilon,episodes_per_cell,pool_size
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,7,0.658,0,0,0.47377546309233753,0.8161122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,8,0.512,8,0,0.32777546309233746,0.6962245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,9,0.546,0,0,0.3617754630923375,0.7302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,any_false_ejection_rate,10,0.62,0,0,0.4357754630923375,0.8042245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,0,0.856,0,6,0.6717754630923375,0.9701122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,1,0.6779999999999999,6,0,0.49377546309233744,0.8622245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,2,0.518,2,0,0.33377546309233747,0.7022245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,3,0.5640000000000001,3,0,0.3797754630923375,0.7482245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,4,0.6419999999999999,4,0,0.45777546309233746,0.8262245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,5,0.618,5,0,0.43377546309233744,0.8022245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,6,0.368,6,0,0.1837754630923375,0.5522245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,7,0.6699999999999999,7,6,0.4857754630923375,0.8542245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,8,0.528,8,0,0.34377546309233753,0.7122245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,9,0.5780000000000001,9,6,0.3937754630923375,0.7622245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s1,multigen_none_n7_r8_k10,1,coalition_game_win_rate,10,0.588,10,0,0.40377546309233747,0.7722245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,0,0.21999999999999997,0,2,0.03577546309233748,0.3701122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,1,0.65,10,0,0.46577546309233747,0.8342245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,2,0.58,2,0,0.39577546309233747,0.7642245369076625,0.09211226845383126,500,11
